index,distance,classify_label,real_label
1087,-13608,0,1
1088,121580,1,1
1089,-38115,0,1
1090,-19927,0,1
1091,-71743,0,1
1092,-13462,0,1
1093,-51430,0,1
1094,-10419,0,1
1095,-151088,0,1
1096,-369749,0,1
1097,68454,1,1
1098,69862,1,1
1099,4424,1,1
1100,13169,1,1
1101,-58410,0,1
1102,-528139,0,1
1103,132825,1,1
1104,11740,1,1
1105,2384,1,1
1106,7315,1,1
1107,95969,1,1
1108,615929,1,1
1109,-62243,0,1
1110,-446730,0,1
1111,115929,1,1
1112,-960875,0,1
1113,54210,1,1
1114,851686,1,1
1115,335695,1,1
1116,515917,1,1
1117,-58223,0,1
1118,-267289,0,1
1119,25927,1,1
1120,-10455,0,1
1121,-39000,0,1
1122,19068,1,1
1123,-23338,0,1
1124,318763,1,1
1125,-55523,0,1
1126,51918,1,1
1127,-75551,0,1
1128,-39525,0,1
1129,-46488,0,1
1130,-42147,0,1
1131,-497958,0,1
1132,-178942,0,1
1133,135154,1,1
1134,-423311,0,1
1135,-63373,0,1
1136,22290,1,1
1137,143475,1,1
1138,743134,1,1
1139,-152733,0,1
1140,932061,1,1
1141,-324772,0,1
1142,3516,1,1
1143,-268379,0,1
1144,-381722,0,1
1145,531694,1,1
1146,-102999,0,1
1147,431645,1,1
1148,-5702,0,1
1149,-5840,0,1
1150,3191,1,1
1151,-15168,0,1
1152,6047,1,1
1153,67853,1,1
1154,-43286,0,1
1155,54085,1,1
1156,25541,1,1
1157,64791,1,1
1158,87385,1,1
1159,-380728,0,1
1160,-81391,0,1
1161,63089,1,1
1162,-22589,0,1
1163,-37953,0,1
1164,68715,1,1
1165,149909,1,1
1166,-120224,0,1
1167,-139477,0,1
1168,32557,1,1
1169,36766,1,1
1170,-12128,0,1
1171,-20995,0,1
1172,4971,1,1
1173,62690,1,1
1174,-18961,0,1
1175,-338,0,1
1176,63357,1,1
1177,119220,1,1
1178,-51234,0,1
1179,-6147,0,1
1180,78723,1,1
1181,7160,1,1
1182,-19422,0,1
1183,-3072,0,1
1184,2424,1,1
1185,43862,1,1
1186,67574,1,1
1187,58771,1,1
1188,37584,1,1
1189,-19692,0,1
1190,-37139,0,1
1191,176321,1,1
1192,46009,1,1
1193,30024,1,1
1194,2669,1,1
1195,67811,1,1
1196,-32704,0,1
1197,90958,1,1
1198,-391894,0,1
1199,479695,1,1
1200,-15183,0,1
1201,71505,1,1
1202,82545,1,1
1203,73085,1,1
1204,40554,1,1
1205,-85959,0,1
1206,-41209,0,1
1207,59234,1,1
1208,-17160,0,1
1209,-57247,0,1
1210,-17197,0,1
1211,64169,1,1
1212,-45632,0,1
1213,49735,1,1
1214,78112,1,1
1215,-24489,0,1
1216,-29840,0,1
1217,30411,1,1
1218,-360428,0,1
1219,236234,1,1
1220,7099,1,1
1221,-39420,0,1
1222,42692,1,1
1223,-1300,0,1
1224,53167,1,1
1225,63653,1,1
1226,-63892,0,1
1227,-36538,0,1
1228,190774,1,1
1229,-35811,0,1
1230,211533,1,1
1231,15142,1,1
1232,-22575,0,1
1233,485246,1,1
1234,-531,0,1
1235,48653,1,1
1236,533591,1,1
1237,-30942,0,1
1238,-1265,0,1
1239,102201,1,1
1240,-48644,0,1
1241,-448163,0,1
1242,28617,1,1
1243,-101907,0,1
1244,5660,1,1
1245,8420,1,1
1246,78637,1,1
1247,-48539,0,1
1248,-55469,0,1
1249,-212965,0,1
1250,241997,1,1
1251,189579,1,1
1252,-125997,0,1
1253,3655,1,1
1254,-40938,0,1
1255,-45656,0,1
1256,153817,1,1
1257,-2073,0,1
1258,24555,1,1
1259,4827,1,1
1260,90012,1,1
1261,-46943,0,1
1262,-1655,0,1
1263,92934,1,1
1264,61086,1,1
1265,13228,1,1
1266,689809,1,1
1267,8089,1,1
1268,144485,1,1
1269,18771,1,1
1270,17195,1,1
1271,245674,1,1
1272,-86938,0,1
1273,-287206,0,1
1274,-93579,0,1
1275,32909,1,1
1276,-2670,0,1
1277,50263,1,1
1278,49540,1,1
1279,-15504,0,1
1280,44218,1,1
1281,-256911,0,1
1282,-25230,0,1
1283,62582,1,1
1284,-23259,0,1
1285,132970,1,1
1286,526613,1,1
1287,21129,1,1
1288,128797,1,1
1289,75361,1,1
1290,95089,1,1
1291,6205,1,1
1292,11047,1,1
1293,-80901,0,1
1294,-431986,0,1
1295,24679,1,1
1296,-116891,0,1
1297,-44505,0,1
1298,-636103,0,1
1299,-67043,0,1
1300,178062,1,1
1301,24615,1,1
1302,43174,1,1
1303,74763,1,1
1304,-120268,0,1
1305,971332,1,1
1306,40609,1,1
1307,10642,1,1
1308,-69829,0,1
1309,119667,1,1
1310,-213108,0,1
1311,21965,1,1
1312,-1418,0,1
1313,-172189,0,1
1314,-77605,0,1
1315,446287,1,1
1316,-9440,0,1
1317,-6275,0,1
1318,-126595,0,1
1319,-12565,0,1
1320,383010,1,1
