index,distance,classify_label,real_label
1329,225853,1,1
1330,-515394,0,1
1331,288309,1,1
1332,123707,1,1
1333,-330546,0,1
1334,3838,1,1
1335,33848,1,1
1336,-197781,0,1
1337,570119,1,1
1338,126961,1,1
1339,-157970,0,1
1340,667029,1,1
1341,-57118,0,1
1342,555929,1,1
1343,-76969,0,1
1344,-684169,0,1
1345,109472,1,1
1346,291342,1,1
1347,421817,1,1
1348,-96536,0,1
1349,-717916,0,1
1350,705850,1,1
1351,334590,1,1
1352,-166107,0,1
1353,-50111,0,1
1354,-955418,0,1
1355,1117014,1,1
1356,686435,1,1
1357,-279116,0,1
1358,32566,1,1
1359,239675,1,1
1360,346249,1,1
1361,-52609,0,1
1362,-493159,0,1
1363,-466956,0,1
1364,325756,1,1
1365,572717,1,1
1366,-131934,0,1
1367,-882663,0,1
1368,104097,1,1
1369,560803,1,1
1370,-289441,0,1
1371,-41468,0,1
1372,618784,1,1
1373,-389793,0,1
1374,-719670,0,1
1375,110454,1,1
1376,-902497,0,1
1377,149143,1,1
1378,-538016,0,1
1379,-286445,0,1
1380,-778,0,1
1381,-33277,0,1
1382,-857471,0,1
1383,110600,1,1
1384,316578,1,1
1385,179570,1,1
1386,305533,1,1
1387,-40908,0,1
1388,489163,1,1
1389,104898,1,1
1390,355247,1,1
1391,-275330,0,1
1392,-83604,0,1
1393,196781,1,1
1394,66665,1,1
1395,152928,1,1
1396,121749,1,1
1397,-23337,0,1
1398,117458,1,1
1399,8567,1,1
1400,-454497,0,1
1401,82443,1,1
1402,-705252,0,1
1403,4712,1,1
1404,209077,1,1
1405,297083,1,1
1406,-1319906,0,1
1407,-269399,0,1
1408,257649,1,1
1409,76410,1,1
1410,146556,1,1
1411,-203626,0,1
1412,353846,1,1
1413,-18015,0,1
1414,-243678,0,1
1415,82620,1,1
1416,72422,1,1
1417,71245,1,1
1418,72028,1,1
1419,57315,1,1
1420,505792,1,1
1421,-22327,0,1
1422,43645,1,1
1423,-630799,0,1
1424,111146,1,1
1425,-83503,0,1
1426,461315,1,1
1427,70071,1,1
1428,-892252,0,1
1429,236383,1,1
1430,57305,1,1
1431,-821426,0,1
1432,88603,1,1
1433,52978,1,1
1434,18684,1,1
1435,-6516,0,1
1436,-146460,0,1
1437,373786,1,1
1438,22404,1,1
1439,-355660,0,1
3360,-9839,0,1
3361,-11813,0,1
3362,4490,1,1
3363,8396,1,1
3364,-3386,0,1
3365,-1300,0,1
3366,-3775,0,1
3367,-1300,0,1
3368,1243,1,1
3369,-1847,0,1
3370,-11173,0,1
3371,22090,1,1
3372,-432,0,1
3373,-7376,0,1
3374,-10537,0,1
3375,7107,1,1
3376,9549,1,1
3377,5434,1,1
3378,6332,1,1
3379,8753,1,1
3380,2848,1,1
3381,-11822,0,1
3382,-564,0,1
3383,1464,1,1
3384,17223,1,1
3385,-1489,0,1
3386,-9479,0,1
3387,3535,1,1
3388,-8629,0,1
3389,-21535,0,1
3390,1809,1,1
3391,11010,1,1
3392,-2344,0,1
3393,27919,1,1
3394,-2089,0,1
3395,-12617,0,1
3396,1616,1,1
3397,-1930,0,1
3398,7584,1,1
3399,2067,1,1
3400,355,1,1
3401,7930,1,1
3402,-8706,0,1
3403,9053,1,1
3404,-7506,0,1
3405,17470,1,1
3406,-6778,0,1
3407,14918,1,1
3408,-3307,0,1
3409,16377,1,1
3410,17101,1,1
3411,8756,1,1
3412,4046,1,1
3413,6684,1,1
3414,16074,1,1
3415,7292,1,1
3416,-5755,0,1
3417,11569,1,1
3418,-6591,0,1
3419,3055,1,1
3420,-1857,0,1
3421,5488,1,1
3422,-18904,0,1
3423,-6172,0,1
3424,-2949,0,1
3425,-19456,0,1
3426,-10221,0,1
3427,2364,1,1
3428,-1125,0,1
3429,-3355,0,1
3430,-7200,0,1
3431,3273,1,1
3432,7344,1,1
3433,-9726,0,1
3434,5825,1,1
3435,-20833,0,1
3436,12529,1,1
3437,1012,1,1
3438,-10194,0,1
3439,13532,1,1
3440,7850,1,1
3441,-5714,0,1
3442,4818,1,1
3443,-2319,0,1
3444,7998,1,1
3445,3580,1,1
3446,12117,1,1
3447,7615,1,1
3448,-7598,0,1
3449,2391,1,1
3450,-6986,0,1
3451,1509,1,1
3452,1906,1,1
3453,14798,1,1
3454,17014,1,1
3455,2887,1,1
3456,12370,1,1
3457,5381,1,1
3458,10018,1,1
3459,2699,1,1
3460,4162,1,1
3461,4947,1,1
3462,1844,1,1
3463,2376,1,1
3464,-3818,0,1
3465,-466,0,1
3466,-577,0,1
3467,1656,1,1
3468,-16542,0,1
3469,552,1,1
3470,-1505,0,1
3471,-5484,0,1
3472,-12481,0,1
3473,-5108,0,1
3474,-7296,0,1
3475,-6284,0,1
3476,9044,1,1
3477,17223,1,1
3478,4049,1,1
3479,3144,1,1
3480,5450,1,1
3481,1813,1,1
3482,-6005,0,1
3483,-1001,0,1
3484,1282,1,1
3485,-12917,0,1
3486,5190,1,1
3487,-24396,0,1
3488,-3891,0,1
3489,1343,1,1
3490,3093,1,1
3491,18047,1,1
3492,1856,1,1
3493,1040,1,1
3494,28629,1,1
3495,-236,0,1
3496,-33053,0,1
3497,-14407,0,1
3498,-3971,0,1
3499,-8238,0,1
3500,2545,1,1
3501,3938,1,1
3502,-10050,0,1
3503,-1923,0,1
3504,1689,1,1
3505,5079,1,1
3506,-1278,0,1
3507,5412,1,1
3508,12050,1,1
3509,-5032,0,1
3510,12961,1,1
3511,1346,1,1
3512,-6217,0,1
3513,-1863,0,1
3514,-17547,0,1
3515,10040,1,1
3516,22020,1,1
3517,6284,1,1
3518,-809,0,1
3519,407,1,1
3520,-21945,0,1
3521,25231,1,1
3522,17859,1,1
3523,506,1,1
3524,-10225,0,1
3525,-2396,0,1
3526,-10709,0,1
3527,-5490,0,1
3528,6373,1,1
3529,10933,1,1
3530,-6598,0,1
3531,5750,1,1
3532,8164,1,1
3533,2064,1,1
3534,6450,1,1
3535,-5348,0,1
3536,10334,1,1
3537,-12578,0,1
3538,1403,1,1
3539,-1942,0,1
3540,-1217,0,1
3541,-2841,0,1
3542,1783,1,1
3543,3594,1,1
3544,7943,1,1
3545,16761,1,1
3546,64,1,1
3547,2501,1,1
3548,-24834,0,1
3549,-30581,0,1
3550,13456,1,1
3551,7581,1,1
3552,16922,1,1
3553,-6454,0,1
3554,2661,1,1
3555,12871,1,1
3556,616,1,1
3557,18495,1,1
3558,-1551,0,1
3559,950,1,1
3560,2069,1,1
3561,-5277,0,1
3562,6194,1,1
3563,9693,1,1
3564,3241,1,1
3565,11726,1,1
3566,-6696,0,1
3567,40210,1,1
3568,-514,0,1
3569,-3531,0,1
3570,29170,1,1
3571,-9180,0,1
3572,-149,0,1
3573,6237,1,1
3574,17726,1,1
3575,3044,1,1
3576,12184,1,1
3577,3535,1,1
3578,20843,1,1
3579,9081,1,1
3580,8904,1,1
3581,-1611,0,1
3582,387,1,1
3583,10538,1,1
3584,-1469,0,1
3585,-996,0,1
3586,13476,1,1
3587,6575,1,1
3588,13054,1,1
3589,8234,1,1
3590,-5960,0,1
3591,439,1,1
3592,-3758,0,1
3593,18818,1,1
3594,-8007,0,1
3595,7611,1,1
3596,4057,1,1
3597,-8147,0,1
3598,2628,1,1
3599,-7001,0,1
3600,5841,1,0
3601,-1589,0,0
3602,-5912,0,0
3603,340,1,0
3604,20024,1,0
3605,-33484,0,0
3606,-3008,0,0
3607,-20993,0,0
3608,12081,1,0
3609,24412,1,0
3610,-21157,0,0
3611,-13010,0,0
3612,-13357,0,0
3613,-9918,0,0
3614,3281,1,0
3615,-13606,0,0
3616,-12297,0,0
3617,-11233,0,0
3618,-2861,0,0
